campaign_name,cve_count,cves
C0027,0,
Operation Wocao,0,
APT41 DUST,0,
FunnyDream,0,
ArcaneDoor,0,
SolarWinds Compromise,0,
C0010,0,
Operation CuckooBees,0,
Juicy Mix,0,
CostaRicto,0,
Operation Honeybee,0,
2016 Ukraine Electric Power Attack,0,
RedDelta Modified PlugX Infection Chain Operations,0,
2015 Ukraine Electric Power Attack,0,
C0018,0,
Operation Dust Storm,0,
Operation Dream Job,0,
FLORAHOX Activity,0,
C0015,0,
RedPenguin,0,
Versa Director Zero Day Exploitation,1,CVE-2024-39717
C0021,0,
Frankenstein,0,
Outer Space,0,
APT28 Nearest Neighbor Campaign,1,CVE-2022-38028
Night Dragon,0,
Operation Ghost,0,
Indian Critical Infrastructure Intrusions,0,
Leviathan Australian Intrusions,0,
Water Curupira Pikabot Distribution,0,
ShadowRay,1,CVE-2023-48022
Operation MidnightEclipse,1,CVE-2024-3400
C0032,0,
Quad7 Activity,0,
HomeLand Justice,0,
Salesforce Data Exfiltration,0,
SharePoint ToolShell Exploitation,4,CVE-2025-49704;CVE-2025-49706;CVE-2025-53770;CVE-2025-53771
C0017,0,
Operation Spalax,0,
Operation Sharpshooter,0,
Cutting Edge,0,
2022 Ukraine Electric Power Attack,0,
3CX Supply Chain Attack,0,
C0011,0,
J-magic Campaign,0,
Triton Safety Instrumented System Attack,0,
FrostyGoop Incident,0,
KV Botnet Activity,0,
C0026,0,
SPACEHOP Activity,0,
Pikabot Distribution February 2024,0,
C0033,0,
